number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
0,0.00034333087127639113,2026-03-12 16:36:23.290226,2026-03-12 16:36:37.449528,0 days 00:00:14.159302,32,0.4586546852195167,2,64,4.467193545455069e-05,8,1,1,0.0005305440827217206,COMPLETE
1,0.00023222543677547947,2026-03-12 16:36:37.516522,2026-03-12 16:36:43.449251,0 days 00:00:05.932729,256,0.27686336948954127,3,32,0.003805436594571152,8,1,1,0.0004351207275922063,COMPLETE
2,0.0008413608634977468,2026-03-12 16:36:43.520748,2026-03-12 16:37:00.431624,0 days 00:00:16.910876,64,0.40494538598605234,4,128,5.651279408672915e-05,8,2,1,0.005046769548605511,COMPLETE
3,0.0216730024881794,2026-03-12 16:37:00.501617,2026-03-12 16:37:06.530465,0 days 00:00:06.028848,64,0.3664032032385015,2,32,0.003072329640480081,4,2,2,0.014280196007434532,COMPLETE
4,0.0002355406530633835,2026-03-12 16:37:06.598465,2026-03-12 16:37:12.858207,0 days 00:00:06.259742,64,0.21406225951368626,3,32,0.001890320840008398,4,1,1,0.0004300940043856399,COMPLETE
5,0.32932782279593603,2026-03-12 16:37:12.928254,2026-03-12 16:37:18.511552,0 days 00:00:05.583298,32,0.24005946802687372,2,32,1.0753494106685148e-05,8,2,1,0.012961153721640879,PRUNED
6,0.0012760290950869343,2026-03-12 16:37:18.582719,2026-03-12 16:37:22.883776,0 days 00:00:04.301057,64,0.37696807845625346,3,64,0.00037808716647705126,8,1,2,0.00880606509874988,PRUNED
7,0.25634124875068665,2026-03-12 16:37:22.970398,2026-03-12 16:37:26.104824,0 days 00:00:03.134426,64,0.2286118296125663,3,32,1.1108877695019295e-05,4,2,2,0.001972410470221463,PRUNED
8,0.0002652421608217992,2026-03-12 16:37:26.174620,2026-03-12 16:37:40.833291,0 days 00:00:14.658671,128,0.20233344188110658,2,64,0.0003128249628821751,4,1,2,0.0005684737404006608,COMPLETE
9,0.11255787765341145,2026-03-12 16:37:40.903290,2026-03-12 16:37:46.551149,0 days 00:00:05.647859,32,0.39910580861084544,4,32,0.0023454689668299684,2,2,2,0.023931658850161002,PRUNED
10,0.0001862717908807099,2026-03-12 16:37:46.621880,2026-03-12 16:37:52.963507,0 days 00:00:06.341627,256,0.5927619598225484,4,128,0.0008045553607529694,2,1,1,3.095729828504776e-05,COMPLETE
11,0.00018727831775322556,2026-03-12 16:37:53.034507,2026-03-12 16:38:02.717349,0 days 00:00:09.682842,256,0.5832584595723443,4,128,0.0008715154987046979,2,1,1,1.940475587690628e-05,COMPLETE
12,0.00020993884390918538,2026-03-12 16:38:02.787102,2026-03-12 16:38:08.738166,0 days 00:00:05.951064,256,0.5905963613733103,4,128,0.0007898296122912695,2,1,1,1.0796541892238445e-05,COMPLETE
13,0.0005492412892635912,2026-03-12 16:38:08.806453,2026-03-12 16:38:10.353049,0 days 00:00:01.546596,256,0.5977814811255139,4,128,0.0006870014822611582,2,1,1,1.3202140250520062e-05,PRUNED
14,0.016621542628854513,2026-03-12 16:38:10.420044,2026-03-12 16:38:11.945863,0 days 00:00:01.525819,256,0.5245142936624683,4,128,0.00011919772016617854,2,1,1,6.470535113818695e-05,PRUNED
15,0.0001811440524761565,2026-03-12 16:38:12.015747,2026-03-12 16:38:17.365478,0 days 00:00:05.349731,256,0.5240462307793047,4,128,0.0009622888795090102,2,1,1,8.394625460124987e-05,COMPLETE
16,0.0001817972370190546,2026-03-12 16:38:17.434490,2026-03-12 16:38:21.578716,0 days 00:00:04.144226,128,0.5114472147664659,4,128,0.0015726576248027886,2,1,1,0.00011667934495289539,COMPLETE
17,0.0001843983518483583,2026-03-12 16:38:21.654791,2026-03-12 16:38:31.074493,0 days 00:00:09.419702,128,0.4907942267117948,3,128,0.0015051442005639493,2,1,1,0.00011625591640633439,COMPLETE
18,0.07396042440086603,2026-03-12 16:38:31.158772,2026-03-12 16:38:32.941127,0 days 00:00:01.782355,128,0.5283063930714872,4,128,0.0001589846520665971,2,1,1,0.0984314150924905,PRUNED
19,0.0004065339162480086,2026-03-12 16:38:33.016134,2026-03-12 16:38:36.637191,0 days 00:00:03.621057,128,0.4641565881966007,4,128,0.0014150639807656515,2,1,1,0.00013852817142728286,PRUNED
20,0.0005689825193258002,2026-03-12 16:38:36.705307,2026-03-12 16:38:38.608300,0 days 00:00:01.902993,128,0.541337289309971,3,128,0.000513563491733463,2,2,2,6.595987138035463e-05,PRUNED
21,0.0001835472103266511,2026-03-12 16:38:38.677816,2026-03-12 16:38:47.331085,0 days 00:00:08.653269,128,0.48760672467663696,3,128,0.0013835567911260167,2,1,1,0.0001730482221607061,COMPLETE
22,0.00018972748875967227,2026-03-12 16:38:47.402085,2026-03-12 16:38:52.633971,0 days 00:00:05.231886,128,0.44249249458650525,3,128,0.004371801727592856,2,1,1,0.00019920017756029762,COMPLETE
23,0.0004266590840416029,2026-03-12 16:38:52.704882,2026-03-12 16:38:55.202427,0 days 00:00:02.497545,128,0.49473996356266814,4,128,0.0014886672964294703,2,1,1,0.0017244090138079334,PRUNED
24,0.00024217501413659193,2026-03-12 16:38:55.291269,2026-03-12 16:38:58.564477,0 days 00:00:03.273208,128,0.5438882219759538,3,128,0.001159748519160625,2,1,1,4.884363991296464e-05,PRUNED
