number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
0,0.0003787218333205341,2026-03-12 15:53:02.295649,2026-03-12 15:53:22.402923,0 days 00:00:20.107274,32,0.47776681191348797,2,128,3.421146046288481e-05,1,0.002610321730841327,COMPLETE
1,0.0601741187274456,2026-03-12 15:53:22.476631,2026-03-12 15:53:27.746790,0 days 00:00:05.270159,256,0.500277397775132,2,32,2.345787023424199e-05,1,0.006859310396359208,COMPLETE
2,0.006695921183563769,2026-03-12 15:53:27.818363,2026-03-12 15:53:36.061252,0 days 00:00:08.242889,128,0.39019862112594017,3,128,1.5373700159937782e-05,1,0.00653833670092238,COMPLETE
3,0.00027261345946629135,2026-03-12 15:53:36.131955,2026-03-12 15:53:41.631981,0 days 00:00:05.500026,64,0.42946179041143967,4,128,0.004663163617962559,1,0.0030859943387842583,COMPLETE
4,0.005803653546276369,2026-03-12 15:53:41.704486,2026-03-12 15:53:47.349840,0 days 00:00:05.645354,32,0.5822195306177271,3,128,0.0005529328737981252,1,0.022746972286682605,COMPLETE
5,0.2559294328093529,2026-03-12 15:53:47.421997,2026-03-12 15:53:48.251911,0 days 00:00:00.829914,128,0.5182168683943574,2,64,1.739486150965872e-05,1,0.002101491334419572,PRUNED
6,0.053296102210879326,2026-03-12 15:53:48.322312,2026-03-12 15:53:48.971752,0 days 00:00:00.649440,256,0.26973254494218935,3,32,0.00024361965704478128,2,2.1061210807278484e-05,PRUNED
7,0.0216344842421157,2026-03-12 15:53:49.039989,2026-03-12 15:53:50.441095,0 days 00:00:01.401106,64,0.4514094912473864,4,128,6.0882648748006085e-05,1,0.009616695664637907,PRUNED
8,0.1755023588027273,2026-03-12 15:53:50.511663,2026-03-12 15:53:52.123310,0 days 00:00:01.611647,64,0.5174497151949329,4,32,2.9588172195585114e-05,2,0.0017550704431726818,PRUNED
9,0.00023427414998877794,2026-03-12 15:53:52.191806,2026-03-12 15:53:53.885089,0 days 00:00:01.693283,256,0.43289523376406225,3,64,0.00480805092559563,1,0.001770745879115334,COMPLETE
10,0.006938188802450895,2026-03-12 15:53:53.955458,2026-03-12 15:53:55.343032,0 days 00:00:01.387574,256,0.3114248815796166,3,64,0.004697943079612032,2,0.00020015271432537914,PRUNED
11,0.00021965589465773,2026-03-12 15:53:55.411391,2026-03-12 15:53:58.174986,0 days 00:00:02.763595,64,0.37946298141176876,4,64,0.0028610763974846686,1,0.00022605181772809553,COMPLETE
12,0.00027664600513942005,2026-03-12 15:53:58.246192,2026-03-12 15:54:02.226116,0 days 00:00:03.979924,64,0.353826403100143,4,64,0.001432997602746314,1,0.00025575192834994534,COMPLETE
13,0.00023696233984082937,2026-03-12 15:54:02.298526,2026-03-12 15:54:04.146822,0 days 00:00:01.848296,256,0.3590739770536743,3,64,0.001599465633160833,1,0.00021700402363351168,COMPLETE
14,0.004120796453207731,2026-03-12 15:54:04.214936,2026-03-12 15:54:04.894247,0 days 00:00:00.679311,256,0.24083068362966142,4,64,0.001550201613561398,2,4.006976251040711e-05,PRUNED
15,0.03521702438592911,2026-03-12 15:54:04.966469,2026-03-12 15:54:06.544582,0 days 00:00:01.578113,64,0.4038244200215971,3,64,0.0005715600385782706,1,0.0744052129633046,PRUNED
16,0.00025495262785365673,2026-03-12 15:54:06.614581,2026-03-12 15:54:16.010772,0 days 00:00:09.396191,32,0.334759980934595,3,64,0.002537209679611218,1,0.000720269968278829,COMPLETE
