number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
0,0.000471428909804672,2026-03-12 15:09:31.947171,2026-03-12 15:09:37.099117,0 days 00:00:05.151946,256,0.3810379240707219,4,128,0.00010028994008750813,8,1,1,1.6182748831435077e-05,COMPLETE
1,0.004355049658832806,2026-03-12 15:09:37.168135,2026-03-12 15:10:06.348222,0 days 00:00:29.180087,64,0.3491329658908188,2,32,1.1180169010444701e-05,2,1,2,0.00028150360921882416,COMPLETE
2,0.018904880329500884,2026-03-12 15:10:06.416222,2026-03-12 15:10:16.204466,0 days 00:00:09.788244,32,0.32446500652725396,4,32,0.0006828226211775531,8,2,1,0.06350100215399677,COMPLETE
3,0.0003314171262900345,2026-03-12 15:10:16.271922,2026-03-12 15:10:31.310086,0 days 00:00:15.038164,128,0.48769832428324933,2,64,0.00014221442078586014,4,1,2,8.488586381491726e-05,COMPLETE
4,0.00034030746610369533,2026-03-12 15:10:31.381086,2026-03-12 15:10:47.753723,0 days 00:00:16.372637,128,0.2839709935049529,3,64,0.00011626170367391706,2,2,2,1.9077467173930025e-05,COMPLETE
5,0.0034437770123726557,2026-03-12 15:10:47.824723,2026-03-12 15:10:53.631750,0 days 00:00:05.807027,64,0.22983671959202454,3,128,0.0004524283647620002,2,1,1,0.012017453029852883,PRUNED
6,0.0015448392452006893,2026-03-12 15:10:53.702336,2026-03-12 15:11:05.843534,0 days 00:00:12.141198,32,0.44958162141158553,3,32,0.0015079434887445911,2,2,2,0.00040773062742828996,PRUNED
7,0.0012508628133218735,2026-03-12 15:11:05.913535,2026-03-12 15:11:08.954027,0 days 00:00:03.040492,256,0.27405972981603555,4,128,0.0021499976090659837,4,2,1,0.00019893451591459626,PRUNED
8,0.005470862936428083,2026-03-12 15:11:09.025781,2026-03-12 15:11:14.177349,0 days 00:00:05.151568,32,0.3994970749947685,3,32,2.2367290277498325e-05,2,1,1,0.001185823814684972,PRUNED
9,0.000383013830287382,2026-03-12 15:11:14.246349,2026-03-12 15:11:21.908810,0 days 00:00:07.662461,256,0.36035517842990805,3,128,6.804361960899455e-05,2,2,1,1.7871423961499858e-05,COMPLETE
10,0.0013055346789769828,2026-03-12 15:11:21.974222,2026-03-12 15:11:24.579740,0 days 00:00:02.605518,128,0.5870672520512625,2,64,0.004626866244531538,4,1,2,0.0016403679235636418,PRUNED
11,0.00037416035775095224,2026-03-12 15:11:24.650838,2026-03-12 15:11:34.568541,0 days 00:00:09.917703,128,0.4948530983699518,2,64,0.00012726409327227178,4,2,2,4.987303891874813e-05,COMPLETE
12,0.0073803945851977915,2026-03-12 15:11:34.635788,2026-03-12 15:11:36.237427,0 days 00:00:01.601639,128,0.5319447540972201,2,64,4.169742570692512e-05,4,1,2,5.9592820449745395e-05,PRUNED
13,0.0008065422662184574,2026-03-12 15:11:36.310485,2026-03-12 15:11:39.013072,0 days 00:00:02.702587,128,0.4529787963007519,2,64,0.00025963710155015474,4,2,2,8.768844511425508e-05,PRUNED
14,0.000585878427955322,2026-03-12 15:11:39.085376,2026-03-12 15:11:42.725782,0 days 00:00:03.640406,128,0.2849587767183528,3,64,0.00020393308052368863,8,1,2,1.0577861744382157e-05,PRUNED
15,0.002049168550001923,2026-03-12 15:11:42.795298,2026-03-12 15:11:45.382841,0 days 00:00:02.587543,128,0.20025107882763438,3,64,3.9803864408903266e-05,2,2,2,0.0033900374886101595,PRUNED
16,0.0042661854677135125,2026-03-12 15:11:45.451845,2026-03-12 15:11:48.762528,0 days 00:00:03.310683,128,0.44783332777239526,2,64,0.0004002560619119366,4,1,2,3.107891961305489e-05,PRUNED
17,0.0010720914506237023,2026-03-12 15:11:48.831815,2026-03-12 15:11:51.665833,0 days 00:00:02.834018,128,0.5850540698602321,4,64,0.0001521467173391982,2,2,2,0.00011930014069764894,PRUNED
18,0.00045935391972307116,2026-03-12 15:11:51.734971,2026-03-12 15:12:02.722194,0 days 00:00:10.987223,64,0.5198022612504171,2,64,0.0008738942151627162,4,2,2,0.0004917032612927289,COMPLETE
19,0.002642305422341451,2026-03-12 15:12:02.794186,2026-03-12 15:12:04.358683,0 days 00:00:01.564497,128,0.29596315017088504,3,64,5.735846798081494e-05,8,1,2,3.300779756098269e-05,PRUNED
20,0.013471278478391469,2026-03-12 15:12:04.427682,2026-03-12 15:12:05.970470,0 days 00:00:01.542788,128,0.42589641862960054,3,64,2.1025824654977334e-05,4,1,2,0.004174587037262147,PRUNED
21,0.00032094861671794206,2026-03-12 15:12:06.042013,2026-03-12 15:12:14.565307,0 days 00:00:08.523294,128,0.5100663087707241,2,64,0.00012218939863233694,4,2,2,5.145900558727395e-05,COMPLETE
22,0.004075547505635768,2026-03-12 15:12:14.631306,2026-03-12 15:12:19.939127,0 days 00:00:05.307821,128,0.49544719962764416,2,64,0.00025900645116530975,4,2,2,0.0001253287832104724,PRUNED
23,0.005695257757906802,2026-03-12 15:12:20.011181,2026-03-12 15:12:21.802369,0 days 00:00:01.791188,128,0.5529674374724465,2,64,8.510115248939859e-05,4,2,2,2.619018297930201e-05,PRUNED
24,0.002103268969221972,2026-03-12 15:12:21.874902,2026-03-12 15:12:23.512446,0 days 00:00:01.637544,128,0.4950322166845828,2,64,0.00014272760620747586,4,2,2,1.0066516310010028e-05,PRUNED
25,0.0003643659583758563,2026-03-12 15:12:23.579446,2026-03-12 15:12:27.029656,0 days 00:00:03.450210,128,0.4703119085402115,2,64,0.00037721303245416793,2,2,2,5.717376152567083e-05,COMPLETE
26,0.001002064290722566,2026-03-12 15:12:27.099120,2026-03-12 15:12:31.989070,0 days 00:00:04.889950,64,0.5416189840698309,2,64,3.9799155096733514e-05,4,2,2,0.0006414662236324003,PRUNED
27,0.0007822463230695575,2026-03-12 15:12:32.059211,2026-03-12 15:12:33.712834,0 days 00:00:01.653623,256,0.4187370675421504,3,64,8.740646349237218e-05,4,2,2,0.00017541912673426328,PRUNED
28,0.002552356072036283,2026-03-12 15:12:33.782763,2026-03-12 15:12:45.107820,0 days 00:00:11.325057,32,0.5558497539819944,3,128,0.00016080030582903436,8,1,2,7.153138280510317e-05,PRUNED
29,0.004478494403883815,2026-03-12 15:12:45.177143,2026-03-12 15:12:46.239010,0 days 00:00:01.061867,256,0.3833813332400303,4,32,0.00010333959119119152,2,2,1,1.9698211822494136e-05,PRUNED
30,0.001986107468837872,2026-03-12 15:12:46.311013,2026-03-12 15:12:49.293876,0 days 00:00:02.982863,128,0.23200567952423276,4,128,0.00022071116785706525,8,1,2,3.3010177163407436e-05,PRUNED
31,0.0003271357600169722,2026-03-12 15:12:49.364876,2026-03-12 15:12:58.157806,0 days 00:00:08.792930,128,0.4768314949714145,2,64,0.00041198363231111307,2,2,2,6.089597841676775e-05,COMPLETE
32,0.0002836507628671825,2026-03-12 15:12:58.227874,2026-03-12 15:13:08.161909,0 days 00:00:09.934035,128,0.476639464729409,2,64,0.0006275224315676522,2,2,2,0.0002333119368372173,COMPLETE
33,0.0018217586766695604,2026-03-12 15:13:08.228192,2026-03-12 15:13:11.078078,0 days 00:00:02.849886,128,0.46956819291940544,2,64,0.000759705867676881,2,2,2,0.00022244232865862253,PRUNED
34,0.0003573633948690258,2026-03-12 15:13:11.148078,2026-03-12 15:13:20.078240,0 days 00:00:08.930162,128,0.5174847153073062,2,64,0.0005674308110723082,2,2,2,0.00032965738328937015,COMPLETE
35,0.03344681797066836,2026-03-12 15:13:20.150666,2026-03-12 15:13:23.275785,0 days 00:00:03.125119,64,0.4726668349312837,2,32,0.0010222702792876156,2,2,2,0.05749346860285798,PRUNED
36,0.0023835655935857047,2026-03-12 15:13:23.345792,2026-03-12 15:13:30.650885,0 days 00:00:07.305093,32,0.43120787112790704,2,64,0.00034068828981587,2,2,2,9.407363626686506e-05,PRUNED
37,0.0019135839684167877,2026-03-12 15:13:30.722045,2026-03-12 15:13:32.812172,0 days 00:00:02.090127,128,0.5059308813983519,2,64,0.0016860897510855115,2,2,1,0.0007660644364007512,PRUNED
38,0.003529266883560922,2026-03-12 15:13:32.881190,2026-03-12 15:13:36.610578,0 days 00:00:03.729388,128,0.41081200940837453,2,32,0.0011985144523497307,8,1,2,0.0001560767890778705,PRUNED
39,0.0015840143605601043,2026-03-12 15:13:36.678984,2026-03-12 15:13:39.043127,0 days 00:00:02.364143,256,0.5684971160743024,2,128,0.0004680712814289807,2,2,1,0.0002488725604807966,PRUNED
40,0.002161364127199964,2026-03-12 15:13:39.112240,2026-03-12 15:13:55.648312,0 days 00:00:16.536072,32,0.3509093366724483,2,64,0.0006192352539019276,4,2,2,0.0004612137762483082,PRUNED
41,0.0008059081446845084,2026-03-12 15:13:55.718315,2026-03-12 15:13:58.610355,0 days 00:00:02.892040,128,0.3190027601456966,2,64,6.097049118010359e-05,2,2,2,3.986965504734311e-05,PRUNED
42,0.00029365461523411795,2026-03-12 15:13:58.680110,2026-03-12 15:14:08.617085,0 days 00:00:09.936975,128,0.39166549305862886,2,64,0.00027641418253257234,2,2,2,2.1005966702124606e-05,COMPLETE
43,0.0016567049024160951,2026-03-12 15:14:08.684908,2026-03-12 15:14:11.763326,0 days 00:00:03.078418,128,0.3996386400957435,2,64,0.00029245679963646687,2,2,2,1.622082564561934e-05,PRUNED
44,0.026516485842876136,2026-03-12 15:14:11.832394,2026-03-12 15:14:13.469291,0 days 00:00:01.636897,128,0.37534887476672985,2,64,0.002554406070624961,2,2,2,5.0479041623559806e-05,PRUNED
45,0.0057041206600843,2026-03-12 15:14:13.541560,2026-03-12 15:14:15.206922,0 days 00:00:01.665362,128,0.4440709038171599,2,32,0.0001838948287216625,2,2,2,8.714609650701384e-05,PRUNED
46,0.0005935483163089625,2026-03-12 15:14:15.279541,2026-03-12 15:14:27.026911,0 days 00:00:11.747370,64,0.4607568984108335,2,64,0.0004672932816126107,2,2,2,2.56525266228158e-05,PRUNED
