number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_layers,params_weight_decay,state
0,0.001361712892893203,2026-03-12 14:23:55.357778,2026-03-12 14:24:11.989464,0 days 00:00:16.631686,32,0.309782224398294,4,128,4.4848455283492684e-05,8,2,0.00022574697560747998,COMPLETE
1,0.0008266310407114881,2026-03-12 14:24:12.058958,2026-03-12 14:24:28.462617,0 days 00:00:16.403659,64,0.39056157126440016,4,64,0.00014670251113452977,8,2,0.01797835039340464,COMPLETE
2,0.003406685427762568,2026-03-12 14:24:28.537162,2026-03-12 14:24:31.068792,0 days 00:00:02.531630,128,0.49373814725620563,2,64,0.0004584816277356394,2,1,0.008927322738430894,COMPLETE
3,0.0019380707090022042,2026-03-12 14:24:31.136786,2026-03-12 14:24:33.676780,0 days 00:00:02.539994,128,0.37476365880766416,2,64,0.0014966684792311591,8,1,5.233841430067196e-05,COMPLETE
4,0.005999911809340119,2026-03-12 14:24:33.745188,2026-03-12 14:24:35.473644,0 days 00:00:01.728456,256,0.5931444540806059,2,64,0.004037819982510627,8,1,0.000669224867550759,COMPLETE
5,0.006702104433705764,2026-03-12 14:24:35.544266,2026-03-12 14:24:39.986109,0 days 00:00:04.441843,32,0.5906617280201536,3,32,0.00023731721170513082,8,1,0.012288934449527217,PRUNED
6,0.0156628819157569,2026-03-12 14:24:40.057059,2026-03-12 14:24:43.570090,0 days 00:00:03.513031,64,0.29859483689653404,3,32,0.00020427619023859894,4,2,0.00027682130133431884,PRUNED
7,0.02600209368392825,2026-03-12 14:24:43.641829,2026-03-12 14:24:48.150506,0 days 00:00:04.508677,32,0.46373699063354407,2,128,0.0001424145671978792,8,1,0.03550310663639973,PRUNED
8,0.0776937180198729,2026-03-12 14:24:48.221704,2026-03-12 14:24:54.961269,0 days 00:00:06.739565,32,0.5187570840180213,3,64,0.0020966573994891384,4,2,0.01306945183793006,PRUNED
9,0.021624075947329402,2026-03-12 14:24:55.029269,2026-03-12 14:24:57.226192,0 days 00:00:02.196923,128,0.29987648002017686,4,32,0.0002068478407891765,8,2,0.03028985303413705,PRUNED
10,0.0797364419060094,2026-03-12 14:24:57.297192,2026-03-12 14:25:01.157680,0 days 00:00:03.860488,64,0.38546203058913986,4,64,1.1997139937175136e-05,2,2,0.002496561134531693,PRUNED
11,0.004936684471821147,2026-03-12 14:25:01.227673,2026-03-12 14:25:04.675362,0 days 00:00:03.447689,64,0.2138132317965797,4,128,3.366175512437342e-05,8,2,1.3423296148507401e-05,PRUNED
12,0.0228248480707407,2026-03-12 14:25:04.745767,2026-03-12 14:25:06.954737,0 days 00:00:02.208970,256,0.3097502472598931,4,128,4.53819940118827e-05,8,2,0.0001722852074285809,PRUNED
13,0.0004922242244772081,2026-03-12 14:25:07.025485,2026-03-12 14:25:36.859574,0 days 00:00:29.834089,32,0.21904725646089426,4,128,5.643749865832785e-05,8,2,0.002553114394454245,COMPLETE
14,0.010913761465677194,2026-03-12 14:25:36.929431,2026-03-12 14:25:40.428729,0 days 00:00:03.499298,64,0.2043021489278859,4,128,7.961631725666636e-05,2,2,0.09026917557627742,PRUNED
15,0.015658386758462126,2026-03-12 14:25:40.499225,2026-03-12 14:25:47.367785,0 days 00:00:06.868560,32,0.2548940923218825,3,64,1.5256251198859783e-05,4,2,0.0027087366960871946,PRUNED
16,0.03508664960307734,2026-03-12 14:25:47.439967,2026-03-12 14:25:54.610295,0 days 00:00:07.170328,64,0.43084814738632143,3,128,0.0004266139542096902,8,2,0.0027415621583962123,PRUNED
17,0.009657370275817811,2026-03-12 14:25:54.682071,2026-03-12 14:25:56.127930,0 days 00:00:01.445859,256,0.35391217019923676,4,64,9.374876120354742e-05,8,2,0.0009757303703534419,PRUNED
18,0.004654721610547442,2026-03-12 14:25:56.196183,2026-03-12 14:26:02.790613,0 days 00:00:06.594430,32,0.24963667890174,4,128,2.1766498208203684e-05,2,2,0.005568833777821346,PRUNED
19,0.04010053474589118,2026-03-12 14:26:02.863620,2026-03-12 14:26:06.379929,0 days 00:00:03.516309,64,0.4312216138158502,4,32,8.459787470969139e-05,4,2,0.06427067255131971,PRUNED
20,0.00529554881878929,2026-03-12 14:26:06.446928,2026-03-12 14:26:10.838267,0 days 00:00:04.391339,32,0.35063322565269617,3,128,0.0005124649181014036,8,1,0.029814205877195864,PRUNED
21,0.002847083016864157,2026-03-12 14:26:10.928274,2026-03-12 14:26:30.713295,0 days 00:00:19.785021,32,0.2566183274560706,4,128,4.049951603804992e-05,8,2,0.000237896729253248,PRUNED
22,0.0049920715391635895,2026-03-12 14:26:30.786296,2026-03-12 14:26:45.485641,0 days 00:00:14.699345,32,0.3268472051618975,4,128,5.207309182358951e-05,8,2,6.064584844604194e-05,PRUNED
23,0.009363212888794286,2026-03-12 14:26:45.555779,2026-03-12 14:26:59.201719,0 days 00:00:13.645940,32,0.41175746764140186,4,128,0.00011313569644624083,8,2,0.0006705725684769219,PRUNED
24,0.0070502909501166345,2026-03-12 14:26:59.272739,2026-03-12 14:27:06.464884,0 days 00:00:07.192145,32,0.27205102851039176,4,128,2.3448159744421263e-05,8,2,0.005010766421743514,PRUNED
25,0.019543894732903157,2026-03-12 14:27:06.533994,2026-03-12 14:27:10.166643,0 days 00:00:03.632649,64,0.22836328374576592,4,64,6.593115626280202e-05,8,2,8.687230626350635e-05,PRUNED
26,0.02720807958394289,2026-03-12 14:27:10.238561,2026-03-12 14:27:12.348031,0 days 00:00:02.109470,256,0.35877852144619304,3,128,2.8370174151063305e-05,8,2,0.001920512011266771,PRUNED
27,0.004950419417582452,2026-03-12 14:27:12.420031,2026-03-12 14:27:14.548106,0 days 00:00:02.128075,128,0.32777377133261243,4,128,0.00015046136447073623,8,2,0.0004386719525364804,PRUNED
28,0.021749887424188534,2026-03-12 14:27:14.617221,2026-03-12 14:27:21.319554,0 days 00:00:06.702333,32,0.2834559120009819,3,32,1.7090198915535316e-05,2,2,1.906987451071348e-05,PRUNED
29,0.04335086513310671,2026-03-12 14:27:21.391550,2026-03-12 14:27:24.344307,0 days 00:00:02.952757,128,0.5017464969337746,4,64,0.0003733059130254658,4,1,0.00697204716771822,PRUNED
30,0.0011761487611303373,2026-03-12 14:27:24.412984,2026-03-12 14:27:34.746287,0 days 00:00:10.333303,64,0.4077196416937524,4,64,0.0006951943270444057,2,2,0.0013750622694957658,COMPLETE
31,0.010506118381662028,2026-03-12 14:27:34.814723,2026-03-12 14:27:39.588276,0 days 00:00:04.773553,64,0.45733393809682577,4,64,0.0006701991247885185,2,2,0.0011777240529113515,PRUNED
32,0.02199684296335493,2026-03-12 14:27:39.659838,2026-03-12 14:27:43.715782,0 days 00:00:04.055944,64,0.3974417158967552,4,64,0.001088023024387651,2,2,0.01450083525054348,PRUNED
33,0.05901927301394088,2026-03-12 14:27:43.786971,2026-03-12 14:27:47.873181,0 days 00:00:04.086210,64,0.37390621169483396,4,64,5.887470481935527e-05,2,2,0.00012239116759315337,PRUNED
34,0.0004262532997277698,2026-03-12 14:27:47.948479,2026-03-12 14:27:55.045070,0 days 00:00:07.096591,64,0.32818455975417266,2,64,0.0008669602978091809,2,1,2.974639030440261e-05,COMPLETE
35,0.002418587774237884,2026-03-12 14:27:55.112070,2026-03-12 14:28:01.503807,0 days 00:00:06.391737,64,0.4111741830226586,2,64,0.0009439227642909341,2,1,3.1423211873005184e-05,COMPLETE
36,0.020220639051071236,2026-03-12 14:28:01.572807,2026-03-12 14:28:04.282843,0 days 00:00:02.710036,64,0.4647444026670979,2,64,0.0024983069360601283,2,1,0.0013433206878049634,PRUNED
37,0.0035780453721859624,2026-03-12 14:28:04.356841,2026-03-12 14:28:06.993708,0 days 00:00:02.636867,64,0.33588106540262047,2,64,0.0002958387708499106,2,1,0.00039092100805564065,PRUNED
38,0.01341567883667137,2026-03-12 14:28:07.063709,2026-03-12 14:28:09.653865,0 days 00:00:02.590156,64,0.5433137216256695,2,64,0.004487958853863395,2,1,0.0038884949560303063,PRUNED
39,0.057958497000592094,2026-03-12 14:28:09.722865,2026-03-12 14:28:12.445110,0 days 00:00:02.722245,64,0.4443894389110281,3,64,0.0009033568057527896,2,1,0.016910689218186246,PRUNED
40,0.018679991480894387,2026-03-12 14:28:12.514916,2026-03-12 14:28:14.056929,0 days 00:00:01.542013,128,0.4844236193159456,2,64,0.00241024241014517,2,1,0.010554617528578416,PRUNED
41,0.0013292686344357207,2026-03-12 14:28:14.129025,2026-03-12 14:28:34.556097,0 days 00:00:20.427072,32,0.38139685778423305,4,32,0.0013934254409794363,8,2,0.0004782813495991245,PRUNED
42,0.008454452618025243,2026-03-12 14:28:34.626096,2026-03-12 14:28:36.095946,0 days 00:00:01.469850,256,0.3029667476430177,4,64,0.00013074280687941923,8,2,3.8807519632464224e-05,PRUNED
43,0.0002876642074625124,2026-03-12 14:28:36.169815,2026-03-12 14:28:58.919650,0 days 00:00:22.749835,32,0.2283467990333584,3,64,0.00018849715900819684,8,2,1.1770867733517897e-05,COMPLETE
44,0.0027775924453245743,2026-03-12 14:28:58.992247,2026-03-12 14:29:09.167402,0 days 00:00:10.175155,64,0.22724157107840387,3,64,0.00023032722896946576,8,2,1.0052786092237595e-05,PRUNED
